STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT13,WT16,WT19
USW00013958,"AUSTIN CAMP MABRY, TX US",7/9/13,0,0,0,,102,76,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/10/13,0,0,0,,102,76,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/11/13,0,0,0,,102,76,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/12/13,0,0,0,,103,75,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/13/13,0,0,0,,105,76,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/14/13,0,0,0,,98,74,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/15/13,0.51,0,0,,78,70,1,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/16/13,0,0,0,,94,72,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/17/13,1.5,0,0,,92,73,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/18/13,0,0,0,,95,73,1,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/19/13,0,0,0,,96,72,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/20/13,0.04,0,0,,96,75,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/21/13,0,0,0,,96,75,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/22/13,0,0,0,,99,78,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/23/13,0,0,0,,99,78,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/24/13,0,0,0,,97,77,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/25/13,0,0,0,,100,76,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/26/13,0.78,0,0,,100,74,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/27/13,0.01,0,0,,90,74,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/28/13,0,0,0,,98,76,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/29/13,0,0,0,,101,78,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/30/13,0,0,0,,101,77,,,,,,,,,,
USW00013958,"AUSTIN CAMP MABRY, TX US",7/31/13,0,0,0,,102,75,,,,,,,,,,
